Date,Close/Last,Volume,Open,High,Low
4/03/2024,$177.58,37381520,$177.53,$180.14,$177.49
1/03/2024,$178.22,31981150,$176.75,$178.73,$176.07
29/02/2024,$176.76,53805360,$173.01,$177.22,$172.85
28/02/2024,$173.16,28180480,$172.44,$174.05,$172.27
27/02/2024,$173.54,31141730,$174.08,$174.62,$172.86
26/02/2024,$174.73,44368610,$175.70,$176.37,$174.26
23/02/2024,$174.99,59715240,$174.28,$175.75,$173.70
22/02/2024,$174.58,55392350,$173.10,$174.80,$171.77
21/02/2024,$168.59,44575620,$168.94,$170.23,$167.14
20/02/2024,$167.08,41980330,$167.83,$168.71,$165.74
16/02/2024,$169.51,48107740,$168.74,$170.42,$167.17
15/02/2024,$169.80,49855200,$170.58,$171.17,$167.59
14/02/2024,$170.98,42815540,$169.21,$171.21,$168.28
13/02/2024,$168.64,56345120,$167.73,$170.95,$165.75
12/02/2024,$172.34,51050440,$174.80,$175.39,$171.54
9/02/2024,$174.45,56985990,$170.90,$175.00,$170.58
8/02/2024,$169.84,42316450,$169.65,$171.43,$168.88
7/02/2024,$170.53,47174060,$169.48,$170.88,$168.94
6/02/2024,$169.15,42505520,$169.39,$170.71,$167.65
5/02/2024,$170.31,55081300,$170.20,$170.55,$167.70
2/02/2024,$171.81,117218300,$169.19,$172.50,$167.33
1/02/2024,$159.28,76542420,$155.87,$159.76,$155.62
31/01/2024,$155.20,50284370,$157.00,$159.01,$154.81
30/01/2024,$159.00,45207430,$160.70,$161.73,$158.49
29/01/2024,$161.26,45270390,$159.34,$161.29,$158.90
26/01/2024,$159.12,51047350,$158.42,$160.72,$157.91
25/01/2024,$157.75,43638590,$156.95,$158.51,$154.55
24/01/2024,$156.87,48547320,$157.80,$158.51,$156.48
23/01/2024,$156.02,37986040,$154.85,$156.21,$153.93
22/01/2024,$154.78,43687470,$156.89,$157.05,$153.90
19/01/2024,$155.34,51651630,$153.83,$155.76,$152.74
18/01/2024,$153.50,37850250,$152.77,$153.78,$151.82
17/01/2024,$151.71,34953360,$151.49,$152.15,$149.91
16/01/2024,$153.16,41384640,$153.53,$154.99,$152.15
12/01/2024,$154.62,40484160,$155.39,$156.20,$154.01
11/01/2024,$155.18,49072690,$155.04,$157.17,$153.12
10/01/2024,$153.73,44421830,$152.06,$154.42,$151.88
9/01/2024,$151.37,43812570,$148.33,$151.71,$148.21
8/01/2024,$149.10,46757050,$146.74,$149.40,$146.15
5/01/2024,$145.24,45153150,$144.69,$146.59,$144.53
4/01/2024,$144.57,56039810,$145.59,$147.38,$144.05
3/01/2024,$148.47,49425500,$149.20,$151.05,$148.33
2/01/2024,$149.93,47339420,$151.54,$152.38,$148.39
29/12/2023,$151.94,39823200,$153.10,$153.89,$151.03
28/12/2023,$153.38,27057000,$153.72,$154.08,$152.95
27/12/2023,$153.34,31434730,$153.56,$154.78,$153.12
26/12/2023,$153.41,25067220,$153.56,$153.98,$153.03
22/12/2023,$153.42,29514090,$153.77,$154.35,$152.71
21/12/2023,$153.84,36305730,$153.30,$153.97,$152.10
20/12/2023,$152.12,50322110,$152.90,$155.63,$151.56
19/12/2023,$153.79,43171290,$154.40,$155.12,$152.69
18/12/2023,$154.07,62512830,$150.56,$154.86,$150.05
15/12/2023,$149.97,110089300,$148.38,$150.57,$147.88
14/12/2023,$147.42,58400850,$149.93,$150.54,$145.52
13/12/2023,$148.84,52766200,$148.12,$149.46,$146.82
12/12/2023,$147.48,44944260,$145.52,$147.50,$145.30
11/12/2023,$145.89,50907290,$145.66,$146.19,$143.64
8/12/2023,$147.42,41905970,$145.48,$147.84,$145.40
7/12/2023,$146.88,52352830,$146.15,$147.92,$145.34
6/12/2023,$144.52,39678960,$147.58,$147.85,$144.28
5/12/2023,$146.88,46822410,$143.55,$148.57,$143.13
4/12/2023,$144.84,48294240,$145.25,$145.35,$142.81
1/12/2023,$147.03,39951830,$146.00,$147.25,$145.55
30/11/2023,$146.09,65814020,$144.76,$146.93,$144.33
29/11/2023,$146.32,40610910,$147.85,$148.54,$145.97
28/11/2023,$147.03,42711680,$146.98,$147.60,$145.53
27/11/2023,$147.73,53762430,$147.53,$149.26,$146.88
24/11/2023,$146.74,22378380,$146.70,$147.20,$145.32
22/11/2023,$146.71,45700000,$144.57,$147.74,$144.57
21/11/2023,$143.90,71225990,$143.91,$144.05,$141.50
20/11/2023,$146.13,41978770,$145.13,$146.63,$144.73
17/11/2023,$145.18,49678440,$142.66,$145.23,$142.55
16/11/2023,$142.83,49653510,$140.91,$143.32,$139.52
15/11/2023,$143.20,63875720,$147.06,$147.29,$142.59
14/11/2023,$145.80,56674550,$145.00,$147.26,$144.68
13/11/2023,$142.59,35680570,$142.08,$143.23,$140.67
10/11/2023,$143.56,49349940,$140.46,$143.65,$139.91
9/11/2023,$140.60,36235370,$142.02,$142.65,$139.84
8/11/2023,$142.08,44521660,$142.97,$143.12,$141.22
7/11/2023,$142.71,53553540,$140.55,$143.37,$140.50
6/11/2023,$139.74,44970420,$138.76,$140.73,$138.36
3/11/2023,$138.60,44059810,$138.99,$139.49,$137.45
2/11/2023,$138.07,52236690,$138.73,$138.81,$136.47
1/11/2023,$137.00,61529410,$133.96,$137.35,$133.71
31/10/2023,$133.09,51589380,$132.75,$133.57,$131.71
30/10/2023,$132.71,72485540,$129.72,$133.00,$128.56
27/10/2023,$127.74,125309300,$126.20,$130.02,$125.52
26/10/2023,$119.57,100419500,$120.63,$121.64,$118.35
25/10/2023,$121.39,74577540,$126.04,$126.34,$120.79
24/10/2023,$128.56,46477360,$127.74,$128.80,$126.34
23/10/2023,$126.56,48259950,$124.63,$127.88,$123.98
