Date,Close/Last,Volume,Open,High,Low
4/03/2024,$498.19,12324140,$503.00,$504.42,$496.42
1/03/2024,$502.30,15884880,$492.11,$504.25,$491.85
29/02/2024,$490.13,17732050,$488.44,$491.70,$482.61
28/02/2024,$484.02,12715490,$485.00,$491.05,$482.75
27/02/2024,$487.05,10809600,$479.98,$487.27,$479.92
26/02/2024,$481.74,12101420,$483.47,$486.14,$480.60
23/02/2024,$484.03,18374290,$488.05,$494.36,$482.35
22/02/2024,$486.13,21625810,$480.24,$489.99,$476.06
21/02/2024,$468.03,12977050,$466.50,$469.00,$461.79
20/02/2024,$471.75,18015520,$469.72,$476.18,$466.56
16/02/2024,$473.32,23324620,$478.11,$478.96,$469.21
15/02/2024,$484.03,24212330,$475.28,$488.62,$472.22
14/02/2024,$473.28,16858400,$467.93,$474.11,$466.09
13/02/2024,$460.12,20916600,$456.87,$467.89,$455.09
12/02/2024,$468.90,19381960,$468.19,$479.15,$466.58
9/02/2024,$468.11,18413140,$472.95,$473.59,$467.47
8/02/2024,$470.00,18815100,$468.32,$470.59,$465.03
7/02/2024,$469.59,23065990,$458.00,$471.52,$456.18
6/02/2024,$454.72,21655210,$464.00,$467.12,$453.00
5/02/2024,$459.41,40832380,$469.88,$471.90,$459.22
2/02/2024,$474.99,84707650,$459.60,$485.96,$453.01
1/02/2024,$394.78,29727050,$393.94,$400.50,$393.05
31/01/2024,$390.14,20180820,$389.00,$398.00,$387.10
30/01/2024,$400.06,18614730,$403.59,$406.36,$399.57
29/01/2024,$401.02,18742430,$394.99,$402.93,$393.10
26/01/2024,$394.14,13159290,$394.35,$396.79,$391.59
25/01/2024,$393.18,15091080,$390.17,$395.49,$385.66
24/01/2024,$390.70,15604290,$390.00,$396.15,$387.81
23/01/2024,$385.20,15506100,$384.62,$388.38,$382.08
22/01/2024,$381.78,17680450,$387.95,$390.35,$381.16
19/01/2024,$383.45,21670810,$379.00,$384.36,$377.97
18/01/2024,$376.13,16354330,$371.49,$376.85,$370.95
17/01/2024,$368.37,12724780,$366.30,$368.54,$358.61
16/01/2024,$367.46,15306890,$373.65,$375.61,$367.23
